Registration (Student Services) Fee Element of Cost of Attendance (all Programs),,,,,,"Note: Today's ""Student Services Fee"" was called the ""Registration Fee"" through 2010-2011",,,,,,,,,,,,,,,,,,,
,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Other Programs,,,,,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$367.50,$367.50,$393.00,$432.00,$450.00,$450.00,$486.00,$486.00,$486.00,$486.00,$510.00,$537.00,$564.00,$564.00
Optometry (OD),,,,,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$367.50,$367.50,$393.00,$432.00,$450.00,$450.00,$486.00,$486.00,$486.00,$486.00,$510.00,$537.00,$564.00,$564.00
Law (JD),,,,,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$367.50,$367.50,$393.00,$432.00,$450.00,$450.00,$486.00,$486.00,$486.00,$486.00,$510.00,$537.00,$564.00,$564.00
Business (MBA FT),,,,,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$367.50,$367.50,$393.00,$432.00,$450.00,$450.00,$486.00,$486.00,$486.00,$486.00,$510.00,$537.00,$564.00,$564.00
UCB-UCSF Medical (MS/MD),,,,,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$367.50,$367.50,$393.00,$432.00,$450.00,$450.00,$486.00,$486.00,$486.00,$486.00,$510.00,$537.00,$564.00,$564.00
"Public Health (MPH, Dr.PH )",,,,,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$367.50,$367.50,$393.00,$432.00,$450.00,$450.00,$486.00,$486.00,$486.00,$486.00,$510.00,$537.00,$564.00,$564.00
Public Policy (MPP),,,,,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$367.50,$367.50,$393.00,$432.00,$450.00,$450.00,$486.00,$486.00,$486.00,$486.00,$510.00,$537.00,$564.00,$564.00
Engineering (M.Eng.),,,,,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$367.50,$367.50,$393.00,$432.00,$450.00,$450.00,$486.00,$486.00,$486.00,$486.00,$510.00,$537.00,$564.00,$564.00
"CED (M.Arch., MCP., MLA, and MUD)",,,,,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$367.50,$367.50,$393.00,$432.00,$450.00,$450.00,$486.00,$486.00,$486.00,$486.00,$510.00,$537.00,$564.00,$564.00
Social Welfare (MSW),,,,,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$367.50,$367.50,$393.00,$432.00,$450.00,$450.00,$486.00,$486.00,$486.00,$486.00,$510.00,$537.00,$564.00,$564.00
Information (MIMS),,,,,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$367.50,$367.50,$393.00,$432.00,$450.00,$450.00,$486.00,$486.00,$486.00,$486.00,$510.00,$537.00,$564.00,$564.00
Chemistry (MS Chem Eng),,,,,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$367.50,$367.50,$393.00,$432.00,$450.00,$450.00,$486.00,$486.00,$486.00,$486.00,$510.00,$537.00,$564.00,$564.00
Stats (MA),,,,,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$367.50,$367.50,$393.00,$432.00,$450.00,$450.00,$486.00,$486.00,$486.00,$486.00,$510.00,$537.00,$564.00,$564.00
Development Practice (MDP),,,,,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$367.50,$367.50,$393.00,$432.00,$450.00,$450.00,$486.00,$486.00,$486.00,$486.00,$510.00,$537.00,$564.00,$564.00
UCB-UCSF Medical (MTM),,,,,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$367.50,$367.50,$393.00,$432.00,$450.00,$450.00,$486.00,$486.00,$486.00,$486.00,$510.00,$537.00,$564.00,$564.00
"Education (Ed. Leadership, Teacher Ed. , Principal Leadership MA)",,,,,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$367.50,$367.50,$393.00,$432.00,$450.00,$450.00,$486.00,$486.00,$486.00,$486.00,$510.00,$537.00,$564.00,$564.00
[blank],,,,,,,,,,,,,,,,,,,,,,,,,
Journalism (MJ),,,,,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$367.50,$367.50,$393.00,$432.00,$450.00,$450.00,$486.00,$486.00,$486.00,$486.00,$510.00,$537.00,$564.00,$564.00
CEE (MS),,,,,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$356.50,$367.50,$367.50,$393.00,$432.00,$450.00,$450.00,$486.00,$486.00,$486.00,$486.00,$510.00,$537.00,$564.00,$564.00