Transit Fee Element of Cost of Attendance (all Programs),,,,,,,,,,,,,,,,,,,,,,,,,
,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Other Programs,,,,,,$18.00,$18.00,$18.00,$34.20,$34.20,$37.20,$37.20,$58.50,$57.75,$57.00,$68.00,$68.00,$68.00,$78.50,$70.00,$70.00,$70.00,$70.00,$76.00,$80.00
Optometry (OD),,,,,,$18.00,$18.00,$18.00,$34.20,$34.20,$37.20,$37.20,$58.50,$57.75,$57.00,$68.00,$68.00,$68.00,$78.50,$70.00,$70.00,$70.00,$70.00,$76.00,$80.00
Law (JD),,,,,,$18.00,$18.00,$18.00,$34.20,$34.20,$37.20,$37.20,$58.50,$57.75,$57.00,$68.00,$68.00,$68.00,$78.50,$70.00,$70.00,$70.00,$70.00,$76.00,$80.00
Business (MBA FT),,,,,,$18.00,$18.00,$18.00,$34.20,$34.20,$37.20,$37.20,$58.50,$57.75,$57.00,$68.00,$68.00,$68.00,$78.50,$70.00,$70.00,$70.00,$70.00,$76.00,$80.00
UCB-UCSF Medical (MS/MD),,,,,,$18.00,$18.00,$18.00,$34.20,$34.20,$37.20,$37.20,$58.50,$57.75,$57.00,$68.00,$68.00,$68.00,$78.50,$70.00,$70.00,$70.00,$70.00,$76.00,$80.00
"Public Health (MPH, Dr.PH )",,,,,,$18.00,$18.00,$18.00,$34.20,$34.20,$37.20,$37.20,$58.50,$57.75,$57.00,$68.00,$68.00,$68.00,$78.50,$70.00,$70.00,$70.00,$70.00,$76.00,$80.00
Public Policy (MPP),,,,,,$18.00,$18.00,$18.00,$34.20,$34.20,$37.20,$37.20,$58.50,$57.75,$57.00,$68.00,$68.00,$68.00,$78.50,$70.00,$70.00,$70.00,$70.00,$76.00,$80.00
Engineering (M.Eng.),,,,,,$18.00,$18.00,$18.00,$34.20,$34.20,$37.20,$37.20,$58.50,$57.75,$57.00,$68.00,$68.00,$68.00,$78.50,$70.00,$70.00,$70.00,$70.00,$76.00,$80.00
"CED (M.Arch., MCP., MLA, and MUD)",,,,,,$18.00,$18.00,$18.00,$34.20,$34.20,$37.20,$37.20,$58.50,$57.75,$57.00,$68.00,$68.00,$68.00,$78.50,$70.00,$70.00,$70.00,$70.00,$76.00,$80.00
Social Welfare (MSW),,,,,,$18.00,$18.00,$18.00,$34.20,$34.20,$37.20,$37.20,$58.50,$57.75,$57.00,$68.00,$68.00,$68.00,$78.50,$70.00,$70.00,$70.00,$70.00,$76.00,$80.00
Information (MIMS),,,,,,$18.00,$18.00,$18.00,$34.20,$34.20,$37.20,$37.20,$58.50,$57.75,$57.00,$68.00,$68.00,$68.00,$78.50,$70.00,$70.00,$70.00,$70.00,$76.00,$80.00
Chemistry (MS Chem Eng),,,,,,$18.00,$18.00,$18.00,$34.20,$34.20,$37.20,$37.20,$58.50,$57.75,$57.00,$68.00,$68.00,$68.00,$78.50,$70.00,$70.00,$70.00,$70.00,$76.00,$80.00
Stats (MA),,,,,,$18.00,$18.00,$18.00,$34.20,$34.20,$37.20,$37.20,$58.50,$57.75,$57.00,$68.00,$68.00,$68.00,$78.50,$70.00,$70.00,$70.00,$70.00,$76.00,$80.00
Development Practice (MDP),,,,,,$18.00,$18.00,$18.00,$34.20,$34.20,$37.20,$37.20,$58.50,$57.75,$57.00,$68.00,$68.00,$68.00,$78.50,$70.00,$70.00,$70.00,$70.00,$76.00,$80.00
UCB-UCSF Medical (MTM),,,,,,$18.00,$18.00,$18.00,$34.20,$34.20,$37.20,$37.20,$58.50,$57.75,$57.00,$68.00,$68.00,$68.00,$78.50,$70.00,$70.00,$70.00,$70.00,$76.00,$80.00
"Education (Ed. Leadership, Teacher Ed. , Principal Leadership MA)",,,,,,$18.00,$18.00,$18.00,$34.20,$34.20,$37.20,$37.20,$58.50,$57.75,$57.00,$68.00,$68.00,$68.00,$78.50,$70.00,$70.00,$70.00,$70.00,$76.00,$80.00
[blank],,,,,,,,,,,,,,,,,,,,,,,,,
Journalism (MJ),,,,,,$18.00,$18.00,$18.00,$34.20,$34.20,$37.20,$37.20,$58.50,$57.75,$57.00,$68.00,$68.00,$68.00,$78.50,$70.00,$70.00,$70.00,$70.00,$76.00,$80.00
CEE (MS),,,,,,$18.00,$18.00,$18.00,$34.20,$34.20,$37.20,$37.20,$58.50,$57.75,$57.00,$68.00,$68.00,$68.00,$78.50,$70.00,$70.00,$70.00,$70.00,$76.00,$80.00